id	text	page	type	choices	choiceNames	reverse	placeholder	min	max	disabled	checkType	width	height	inline	randomize
NA	Enter the age (in years) at which you started using each language.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
aoa1	x[1]	1	numericInput	NA	NA	NA	NA	0	100	1	is.null	200px	NA	NA	0
aoa2	x[2]	1	numericInput	NA	NA	NA	NA	0	100	1	is.null	200px	NA	NA	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Enter the total number of years you have spent using each language.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
y1	x[1]	1	numericInput	NA	NA	NA	NA	0	100	1	is.null	200px	NA	NA	0
y2	x[2]	1	numericInput	NA	NA	NA	NA	0	100	1	is.null	200px	NA	NA	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
c1	Country of residence	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	200px	NA	NA	0
c2	Country of origin	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	200px	NA	NA	0
c3	If country of residence and country of origin are different, when did you first move to the country where you currently live?	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
c4	List all the countries that you have lived in continuously for three or more months, beginning with the country with the longest length of stay, and including your country of residence. 	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	750px	NA	NA	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	If you have taken any standardized English proficiency test, please indicate the name of the test and the score received.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
test1	Test taken	1	selectInput	0,1,2,3	TOEFL,IELTS,Other,N/A	NA	NA	NA	NA	1	is.null	200px	NA	1	0
test2	If you selected 'Other', please list the name of the test.	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
toefl	Total TOEFL score (0-120); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
toefl_listen	Listening TOEFL score (0-30); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
toefl_speak	Speaking TOEFL score (0-30); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
ielts	Overall IELTS band score (0-9); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
ielts_listen	Listening IELTS score (0-9); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
ielts_speak	Speaking IELTS score (0-9); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
othertest	Total score (if Other); leave blank if N/A	1	textInput	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Rate your current LISTENING ability in each of the following languages.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
listen1	x[1]	1	radioButtons	1,2,3,4,5,6,7	Very Poor,Poor,Limited,Functional,Good,Very Good,Native-like	NA	NA	NA	NA	1	is.null	750px	NA	1	0
listen2	x[2]	1	radioButtons	1,2,3,4,5,6,7	Very Poor,Poor,Limited,Functional,Good,Very Good,Native-like	NA	NA	NA	NA	1	is.null	750px	NA	1	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Rate your current SPEAKING ability in each of the following languages.	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
speak1	x[1]	1	radioButtons	1,2,3,4,5,6,7	Very Poor,Poor,Limited,Functional,Good,Very Good,Native-like	NA	NA	NA	NA	1	is.null	750px	NA	1	0
speak2	x[2]	1	radioButtons	1,2,3,4,5,6,7	Very Poor,Poor,Limited,Functional,Good,Very Good,Native-like	NA	NA	NA	NA	1	is.null	750px	NA	1	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
accent	Rate the strength of your foreign accent in English. If you are a native speaker of English, choose N/A.	1	radioButtons	1,2,3,4,5,6	1 - Very Weak,2,3,4,5 - Very Strong,N/A	NA	NA	NA	NA	1	is.null	750px	NA	1	0
NA	"<br>"	1	HTML	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
NA	Estimate the percentage of time you spend engaged in each language on a day-to-day basis (sum to a 100).	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
percent1	x[1]	1	numericInput	NA	NA	NA	NA	0	100	1	is.null	200px	NA	NA	0
percent2	x[2]	1	numericInput	NA	NA	NA	NA	0	100	1	is.null	200px	NA	NA	0
NA	What is the language used by your teachers for instruction at each educational level? If multiple languages were used, list the most frequently used language first. 	1	p	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0
instruct1	Elementary school	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	200px	NA	NA	0
instruct2	Middle school	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	200px	NA	NA	0
instruct3	High school	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	200px	NA	NA	0
instruct4	College or University	1	textInput	NA	NA	NA	NA	NA	NA	1	nchar	200px	NA	NA	0
NA	Please answer all questions on this page to continue.	1	h5	NA	NA	NA	NA	NA	NA	0	NA	750px	NA	NA	0

